P_ID,true_label,pred,prob
PA01,0,1,0.5371749723644619
PA01,0,0,0.4676261631102166
PA01,1,1,0.5868171898734981
PA01,0,1,0.7531936165625375
PA01,1,1,0.6964318433575387
PA01,1,1,0.6919968571758203
PA01,0,1,0.7020895321686101
PA01,1,1,0.5702800820411623
PA01,1,1,0.6292012406186256
PA01,1,1,0.6029833874493316
PA01,1,1,0.5648626178769932
PA01,1,1,0.5832310713869236
PA01,0,1,0.5833986471874227
PA01,0,1,0.5578841127860764
PA01,0,1,0.6264632038717157
PA01,0,1,0.7088030746844429
PA01,1,0,0.4855911933116677
PA01,0,1,0.5654478678637973
PA01,1,1,0.6274625451044084
PA01,1,0,0.4711939308742536
PA01,0,0,0.35643033500768473
PA01,0,0,0.4686263777126259
PA01,0,0,0.3816429623577371
PA01,1,0,0.08130174032270404
PA01,1,0,0.4448976109082923
PA01,0,1,0.5659487598805949
PA01,0,1,0.6031434223033761
PA01,1,1,0.6328206527851179
PA01,0,1,0.5883898504030388
PA01,1,1,0.5830000997354958
PA01,0,0,0.41834487504877604
PA01,1,1,0.5210541633062414
PA01,0,0,0.45570596737182073
PA01,1,1,0.5066573188774101
PA01,0,1,0.6618368863481104
PA01,0,1,0.6545484366223661
PA01,0,1,0.6444681863233857
PA01,1,1,0.5943115643340487
PA01,1,0,0.14588779087955647
PA01,1,0,0.45494484008211955
PA01,0,1,0.5891245816566392
PA01,1,0,0.24023081597914434
PA01,1,1,0.6684757253979376
PA01,1,1,0.7444062876975793
PA01,0,1,0.6273412346160371
PA01,1,1,0.5248475546583373
PA01,0,1,0.5837342742112072
PA01,1,1,0.5098431919637466
PA01,0,1,0.5955591408693699
PA01,0,1,0.5053797496890167
PA02,0,1,0.6472768739876285
PA02,0,0,0.34924091945773794
PA02,0,1,0.5125470258159375
PA02,1,1,0.6224170962447982
PA02,1,1,0.6456219193476075
PA02,0,0,0.4849974170359971
PA02,1,1,0.5424028565545578
PA02,1,0,0.4728793473326774
PA02,0,0,0.38518445072940355
PA02,1,0,0.2009492667864388
PA02,1,0,0.49362206581639645
PA02,0,1,0.6716361587069214
PA02,1,0,0.37411507913551556
PA02,0,1,0.6540692847878018
PA02,0,1,0.593213231596247
PA02,0,1,0.6070157079342533
PA02,0,1,0.5984037296524952
PA02,1,0,0.2288895575201544
PA02,1,1,0.6143418422271949
PA02,0,1,0.6394322195242081
PA02,0,0,0.46620166725099976
PA02,1,1,0.5639193017834456
PA02,0,0,0.4857453914329323
PA02,0,0,0.1840357625386839
PA02,0,0,0.16432465199102517
PA02,0,0,0.10287153595091524
PA02,1,1,0.6346665193680118
PA02,1,1,0.5611816531080794
PA02,1,1,0.5309757306351476
PA02,1,1,0.6531644221605817
PA02,0,0,0.37782616586439005
PA02,0,1,0.6638057725698477
PA02,0,1,0.5419772135606115
PA02,0,0,0.4051167124146345
PA02,1,1,0.5801353622859853
PA02,0,0,0.45008652196742843
PA02,1,0,0.4814366812297022
PA02,0,1,0.5451316360266267
PA02,1,0,0.14928998314150763
PA02,1,1,0.5076566747426984
PA02,1,0,0.4548161682203667
PA02,1,1,0.5594791173258543
PA02,1,0,0.3690711554680303
PA02,1,1,0.5523022688883298
PA02,1,1,0.6716972647194681
PA02,1,1,0.6300748685222247
PA02,0,0,0.44768646502013537
PA02,0,0,0.4437382889835653
PA02,1,1,0.5466438047201713
PA02,0,0,0.22602702718274836
PA03,0,1,0.5324125212296622
PA03,1,0,0.43624970316244566
PA03,0,1,0.5288672821513822
PA03,1,0,0.49877098245280194
PA03,1,0,0.3006997245386281
PA03,0,0,0.2973914230376515
PA03,0,0,0.45018622628473565
PA03,1,1,0.6181665330339112
PA03,0,0,0.3725066865971439
PA03,1,0,0.469000275939156
PA03,0,1,0.5700285030423743
PA03,1,0,0.4526867337179109
PA03,1,0,0.4834043930462476
PA03,1,1,0.544023087985488
PA03,1,0,0.38620515969140096
PA03,1,1,0.5174553121946582
PA03,0,1,0.5641247074088658
PA03,0,0,0.23920619405150756
PA03,1,1,0.5046537274551516
PA03,0,0,0.3803207143216434
PA03,1,0,0.4441272613216676
PA03,1,1,0.6597446506429046
PA03,1,1,0.5019121444440034
PA03,0,0,0.1846744501372488
PA03,1,1,0.5805582897650967
PA03,0,0,0.11046978336790379
PA03,0,0,0.4529239394547002
PA03,1,1,0.5018132886736485
PA03,0,1,0.5307993846947425
PA03,0,0,0.41877953872194223
PA03,0,1,0.5791448292920235
PA03,1,1,0.5480871773246766
PA03,0,1,0.5542530297015167
PA03,0,1,0.5095814511382684
PA03,1,0,0.38844505276398555
PA03,1,0,0.3736800106637892
PA03,1,1,0.5746193313270103
PA03,1,0,0.4613482031656598
PA03,0,1,0.5540438440136687
PA03,0,0,0.4954424289519127
PA03,0,1,0.513016625843925
PA03,0,0,0.3869742814971041
PA03,1,0,0.3147698548880634
PA03,0,1,0.6010065715043171
PA03,1,1,0.6058889092970036
PA03,1,0,0.31362836873118444
PA03,0,1,0.5493826664626162
PA03,0,0,0.17042605824521542
PA03,1,0,0.28915025920082515
PA03,0,0,0.49181706446081713
PA04,0,1,0.6090107460221338
PA04,1,1,0.6308029105382416
PA04,0,1,0.5984934095726775
PA04,0,1,0.5632782840765858
PA04,1,1,0.7038284709992756
PA04,1,1,0.648081402858061
PA04,0,1,0.5601902110903875
PA04,0,1,0.6387921602909172
PA04,0,1,0.5648658546234115
PA04,1,0,0.43272446993907593
PA04,0,1,0.6109022532054709
PA04,0,0,0.4877350341827121
PA04,0,1,0.5783142603337418
PA04,1,1,0.5553688099210917
PA04,0,1,0.5325368251615009
PA04,0,1,0.6762223908675243
PA04,1,1,0.5229235434309988
PA04,1,1,0.6269293268483921
PA04,1,1,0.6162063943805123
PA04,0,0,0.2738791085584888
PA04,0,1,0.5028767200372585
PA04,1,1,0.5547094372328548
PA04,0,1,0.6524700433608835
PA04,1,1,0.5399464299285676
PA04,1,1,0.6336056535439317
PA04,0,0,0.3924994564233928
PA04,0,1,0.5889665143137327
PA04,0,1,0.571453462250863
PA04,1,1,0.6191376633120621
PA04,0,1,0.6138832806738437
PA04,1,0,0.3429611014316089
PA04,1,1,0.5808382381710957
PA04,0,0,0.4648652812501332
PA04,1,1,0.510209098017959
PA04,1,1,0.5994625432845663
PA04,0,1,0.6044563506490701
PA04,0,0,0.46187506367962006
PA04,1,0,0.46982272126597635
PA04,0,1,0.5734108793426328
PA04,1,1,0.6614097145680984
PA04,1,0,0.4878833595902463
PA04,1,1,0.5146497868586133
PA04,1,1,0.5031434742460527
PA04,1,0,0.428128966650837
PA04,0,1,0.6632571626060515
