P_ID,true_label,pred,prob
PA01,0,1,0.7393367290496826
PA01,0,1,0.8213979005813599
PA01,0,1,0.7215114235877991
PA01,0,1,0.7402290105819702
PA01,0,0,0.050515979528427124
PA01,0,1,0.7292448282241821
PA01,0,1,0.7063842415809631
PA01,0,1,0.6014798283576965
PA01,0,1,0.5194041728973389
PA01,0,1,0.7144085168838501
PA01,0,0,0.09615384042263031
PA01,0,1,0.5345810651779175
PA01,0,1,0.6211963891983032
PA01,0,1,0.8445940017700195
PA01,1,1,0.6365044713020325
PA01,1,1,0.7847891449928284
PA01,0,1,0.7248165607452393
PA01,0,1,0.8597363829612732
PA01,0,1,0.7247424721717834
PA01,0,0,0.48492035269737244
PA01,0,0,0.4414446949958801
PA01,0,1,0.7971986532211304
PA01,0,1,0.7506464123725891
PA01,0,1,0.6266234517097473
PA01,0,1,0.5995432138442993
PA01,0,1,0.8627463579177856
PA01,0,1,0.7742670774459839
PA01,1,1,0.7307332754135132
PA01,0,1,0.67250657081604
PA01,0,1,0.7758066058158875
PA01,1,1,0.6201099753379822
PA01,0,1,0.5970121622085571
PA01,0,0,0.3523450195789337
PA01,0,1,0.6911625862121582
PA01,0,1,0.6904656291007996
PA01,0,0,0.32165586948394775
PA01,0,1,0.767252504825592
PA01,0,1,0.6945194602012634
PA01,0,1,0.5567160844802856
PA01,1,0,0.2100563496351242
PA01,1,1,0.7572765350341797
PA01,0,0,0.2285703718662262
PA01,0,1,0.5841407775878906
PA01,0,0,0.3934723138809204
PA01,0,1,0.681606113910675
PA01,0,1,0.7476107478141785
PA01,0,1,0.5192023515701294
PA01,0,1,0.6631373763084412
PA01,0,1,0.7141755819320679
PA01,0,1,0.7640247344970703
PA01,0,1,0.7542785406112671
PA01,0,1,0.620197594165802
PA01,0,1,0.8211738467216492
PA01,0,0,0.4701498746871948
PA01,1,1,0.6643860936164856
PA01,1,1,0.6717537045478821
PA01,0,1,0.6145357489585876
PA01,0,1,0.754562258720398
PA01,1,1,0.7141720652580261
PA01,0,1,0.6875780820846558
PA01,0,1,0.5837496519088745
PA01,0,1,0.7700924873352051
PA01,0,1,0.7095526456832886
PA01,0,0,0.36385905742645264
PA01,0,0,0.47453945875167847
PA01,1,1,0.7701225876808167
PA01,0,1,0.5597399473190308
PA01,0,1,0.6807376742362976
PA01,0,1,0.7121173143386841
PA01,0,0,0.48623958230018616
PA01,0,1,0.7670305371284485
PA01,1,1,0.7152519226074219
PA01,0,1,0.768629789352417
PA01,0,1,0.7754799127578735
PA01,0,0,0.3377099633216858
PA01,0,1,0.6937874555587769
PA01,0,1,0.7792254090309143
PA01,0,1,0.792094886302948
PA01,0,1,0.6859921813011169
PA01,0,0,0.29907336831092834
PA01,0,1,0.830950915813446
PA01,0,1,0.771735668182373
PA01,0,1,0.6464963555335999
PA01,0,1,0.6856111884117126
PA01,0,1,0.8355615735054016
PA01,0,1,0.5320963263511658
PA01,0,1,0.8078310489654541
PA01,0,1,0.5035997629165649
PA01,0,1,0.6665236949920654
PA01,0,1,0.5671713948249817
PA01,0,1,0.8396898508071899
PA01,0,1,0.725463330745697
PA01,0,1,0.6903380751609802
PA01,0,1,0.6634764671325684
PA01,1,1,0.7074231505393982
PA01,1,1,0.7819530963897705
PA01,0,1,0.7483067512512207
PA01,0,1,0.6522065997123718
PA01,0,1,0.8403221964836121
PA01,0,1,0.6801567077636719
PA01,0,1,0.7247886061668396
PA01,0,0,0.43537789583206177
PA01,0,1,0.7816159725189209
PA01,0,1,0.7747048735618591
PA01,0,1,0.7238245010375977
PA01,0,1,0.8260242342948914
PA01,1,1,0.8290507793426514
PA01,0,0,0.15358883142471313
PA01,0,1,0.6634576320648193
PA01,0,0,0.4929192066192627
PA01,0,0,0.3815498352050781
PA01,0,1,0.7514692544937134
PA01,1,1,0.755527675151825
PA01,0,1,0.7597501277923584
PA01,1,1,0.5931103229522705
PA01,0,1,0.605302095413208
PA01,0,1,0.678962230682373
PA01,0,1,0.6626548171043396
PA01,0,1,0.6066440343856812
PA01,0,1,0.7421652674674988
PA01,0,1,0.8341936469078064
PA01,0,1,0.8542020916938782
PA01,0,1,0.7399048805236816
PA01,0,1,0.6286221742630005
PA01,0,1,0.7707262635231018
PA01,0,1,0.6284166574478149
PA01,0,1,0.5535439252853394
PA01,1,1,0.5772624611854553
PA01,0,1,0.6145058274269104
PA01,0,1,0.7443436980247498
PA01,1,1,0.8252058029174805
PA01,0,1,0.7834455966949463
PA01,0,1,0.814566433429718
PA01,0,1,0.6548295617103577
PA01,0,1,0.6934459805488586
PA01,0,1,0.7619502544403076
PA01,0,1,0.7920591235160828
PA01,1,1,0.6493936777114868
PA01,0,1,0.6192899942398071
PA01,0,1,0.67657071352005
PA01,0,1,0.6953625679016113
PA01,0,0,0.3925405442714691
PA01,0,1,0.8631827235221863
PA01,1,1,0.6687440872192383
PA01,0,1,0.6290452480316162
PA01,0,1,0.682325541973114
PA01,1,1,0.6836903691291809
PA01,0,1,0.7834952473640442
PA01,0,1,0.7503780722618103
PA01,0,1,0.6118343472480774
PA01,0,1,0.5697226524353027
PA01,1,1,0.7508885264396667
PA01,1,0,0.44074729084968567
PA01,0,1,0.6833361387252808
PA01,0,1,0.5574637055397034
PA01,0,1,0.7467038035392761
PA01,0,0,0.4586127996444702
PA01,0,0,0.18600928783416748
PA01,0,1,0.6491150856018066
PA01,0,1,0.8332321643829346
PA01,0,1,0.8331066966056824
PA01,1,1,0.6781212091445923
PA01,0,1,0.6379761099815369
PA01,0,1,0.6646759510040283
PA01,1,1,0.5463906526565552
PA01,0,1,0.7680481672286987
PA01,0,1,0.6587617993354797
PA01,1,1,0.6016884446144104
PA01,0,1,0.7318093776702881
PA01,0,1,0.8596732020378113
PA01,0,1,0.6155384182929993
PA01,1,1,0.7789530158042908
PA01,0,1,0.7959427237510681
PA01,1,1,0.757321834564209
PA01,0,1,0.6744608283042908
PA01,0,1,0.7975679039955139
PA01,0,1,0.780229926109314
PA01,0,1,0.5893871784210205
PA01,0,1,0.5238527059555054
PA01,0,1,0.6595908403396606
PA01,0,0,0.2788276672363281
PA01,1,1,0.6737632155418396
PA01,1,0,0.40889379382133484
PA01,0,1,0.6591635942459106
PA01,1,0,0.39719268679618835
PA01,0,1,0.6075467467308044
PA01,0,1,0.6503779292106628
PA01,0,1,0.7401415109634399
PA01,0,0,0.3507455885410309
PA01,1,1,0.6489174365997314
PA01,0,0,0.4241373538970947
PA01,0,1,0.6591306924819946
PA01,0,1,0.7719144821166992
PA01,0,1,0.8502792716026306
PA01,0,1,0.6755737066268921
PA01,0,1,0.829658567905426
PA01,1,1,0.5294183492660522
PA01,0,1,0.5273925065994263
PA01,1,1,0.688452422618866
PA01,1,1,0.6673312783241272
PA01,0,1,0.6437098383903503
PA01,0,1,0.7475770115852356
PA01,0,1,0.5212795734405518
PA01,0,1,0.6784220933914185
PA01,0,1,0.5917155146598816
PA01,0,1,0.6285319924354553
PA01,0,1,0.7021319270133972
PA01,0,1,0.677675724029541
PA01,1,1,0.7515837550163269
PA01,0,1,0.7017780542373657
PA01,0,0,0.4969635009765625
PA01,0,1,0.6078008413314819
PA01,0,1,0.6699972152709961
PA01,0,1,0.7243090271949768
PA01,0,1,0.6397363543510437
PA01,0,1,0.7821201682090759
PA01,0,1,0.6183287501335144
PA01,0,0,0.45845460891723633
PA01,0,1,0.5165015459060669
PA01,0,1,0.6078413128852844
PA01,1,0,0.051546137779951096
PA01,0,1,0.7383279800415039
PA01,0,1,0.6472288370132446
PA01,0,1,0.7816663980484009
PA01,0,1,0.7662042379379272
PA01,0,1,0.6061944365501404
PA01,0,0,0.4543125331401825
PA01,1,1,0.6193727254867554
PA01,0,1,0.6736397743225098
PA01,1,1,0.8170044422149658
PA01,0,0,0.37107786536216736
PA01,0,1,0.6356298923492432
PA01,0,1,0.7027095556259155
PA01,0,0,0.22140976786613464
PA01,0,1,0.6966474056243896
PA01,1,1,0.5626453161239624
PA01,0,1,0.6660610437393188
PA01,0,0,0.4579436182975769
PA01,0,1,0.7515305280685425
PA01,0,1,0.8094411492347717
PA01,0,1,0.6423355937004089
PA01,0,1,0.6617031693458557
PA01,0,1,0.711590051651001
PA01,1,1,0.6854992508888245
PA01,0,1,0.8021019697189331
PA01,1,1,0.7127810120582581
PA01,0,1,0.7764079570770264
PA01,0,1,0.7164469957351685
PA01,0,1,0.6588820815086365
PA01,0,1,0.7041988372802734
PA01,0,1,0.6718463897705078
PA01,0,1,0.6297054290771484
PA01,0,1,0.598249614238739
PA01,0,0,0.2720608115196228
PA01,1,1,0.5841826796531677
PA01,0,0,0.3653723895549774
PA01,0,1,0.6758508682250977
PA01,0,1,0.6220436692237854
PA01,0,1,0.707968533039093
PA01,0,0,0.3951914608478546
PA01,0,1,0.5305709838867188
PA01,0,1,0.6638110876083374
PA01,0,1,0.7892012596130371
PA01,0,1,0.7463587522506714
PA01,1,1,0.7826932668685913
PA01,0,1,0.7552701830863953
PA01,0,1,0.7762168645858765
PA01,1,1,0.8314813375473022
PA01,0,0,0.3281821012496948
PA01,1,1,0.5356847643852234
PA01,0,1,0.6522634029388428
PA01,0,1,0.7032076716423035
PA01,1,1,0.7002759575843811
PA01,1,1,0.7447681427001953
PA01,0,1,0.7063051462173462
PA01,0,0,0.44291985034942627
PA01,0,1,0.6940757632255554
PA01,0,1,0.8475534915924072
PA01,0,1,0.5614799857139587
PA01,0,1,0.6283150911331177
PA01,0,1,0.7317922711372375
PA01,0,1,0.7656112909317017
PA01,0,1,0.5946526527404785
PA01,0,1,0.6690551042556763
PA01,0,1,0.7266953587532043
PA01,1,1,0.6857790946960449
PA01,0,0,0.47342947125434875
PA01,0,1,0.6142489314079285
PA01,0,1,0.8030906319618225
PA01,0,1,0.5853337645530701
PA01,0,1,0.8288843631744385
