P_ID,true_label,pred,prob
PA01,0,1,0.6073272228240967
PA01,0,0,0.4379640221595764
PA01,0,1,0.9167883396148682
PA01,0,0,0.4353553354740143
PA01,0,1,0.6830716729164124
PA01,0,1,0.5885064005851746
PA01,0,0,0.1784222275018692
PA01,0,1,0.9558151960372924
PA01,0,1,0.5654865503311157
PA01,0,1,0.7671291828155518
PA01,0,1,0.7220920920372009
PA01,0,1,0.7686318755149841
PA01,0,1,0.651056706905365
PA01,0,1,0.7822636961936951
PA01,0,1,0.6403175592422485
PA01,0,0,0.4140662848949432
PA01,0,1,0.6751838326454163
PA01,0,1,0.6913238167762756
PA01,0,1,0.8516698479652405
PA01,0,1,0.5156301259994507
PA01,0,0,0.3432532846927643
PA01,0,0,0.1660428345203399
PA01,0,1,0.8137591481208801
PA01,0,1,0.7507963180541992
PA01,0,1,0.6626585721969604
PA01,1,1,0.8412944078445435
PA01,1,0,0.286237508058548
PA01,1,1,0.5711808800697327
PA01,1,0,0.1160534545779228
PA01,1,1,0.6645523905754089
PA01,1,1,0.5368455648422241
PA01,1,1,0.6546587944030762
PA01,1,1,0.8444880247116089
PA01,1,1,0.7392774224281311
PA01,1,0,0.2423223108053207
PA01,1,1,0.7428892850875854
PA01,1,1,0.8729590773582458
PA01,1,1,0.5865583419799805
PA01,1,1,0.6106755137443542
PA01,1,1,0.7142567038536072
PA01,1,1,0.6191655993461609
PA01,1,0,0.1909225583076477
PA01,1,0,0.2331831306219101
PA01,1,1,0.6560221314430237
PA01,1,0,0.2620517611503601
PA01,1,0,0.4289570450782776
PA01,1,1,0.8136601448059082
PA01,1,1,0.7214863300323486
PA01,1,0,0.4290689826011657
PA01,1,0,0.4882846176624298
PA02,0,1,0.7902315855026245
PA02,0,0,0.4914805889129638
PA02,0,1,0.5197713375091553
PA02,0,1,0.5246801972389221
PA02,0,1,0.5779106020927429
PA02,0,1,0.9160893559455872
PA02,0,1,0.5673570036888123
PA02,0,1,0.7780745029449463
PA02,0,1,0.8175938725471497
PA02,0,0,0.4571090340614319
PA02,0,1,0.5477208495140076
PA02,0,1,0.6778400540351868
PA02,0,1,0.9464967846870422
PA02,0,1,0.5733922719955444
PA02,0,1,0.8121357560157776
PA02,0,1,0.7990700602531433
PA02,0,1,0.5952448844909668
PA02,0,1,0.5747933983802795
PA02,0,1,0.9376157522201538
PA02,0,1,0.5422985553741455
PA02,0,0,0.1418508291244506
PA02,0,0,0.3456178903579712
PA02,0,1,0.725639820098877
PA02,0,1,0.6392821669578552
PA02,0,0,0.4830932319164276
PA02,1,1,0.7080258727073669
PA02,1,0,0.3408063650131225
PA02,1,1,0.6918812394142151
PA02,1,1,0.8427314758300781
PA02,1,1,0.662829577922821
PA02,1,1,0.7368361949920654
PA02,1,1,0.5491154789924622
PA02,1,1,0.5904364585876465
PA02,1,1,0.7206223607063293
PA02,1,0,0.4575783312320709
PA02,1,1,0.7770208716392517
PA02,1,1,0.9150835275650024
PA02,1,1,0.5317327380180359
PA02,1,1,0.7532025575637817
PA02,1,1,0.9048051834106444
PA02,1,1,0.7010645270347595
PA02,1,1,0.5234200358390808
PA02,1,1,0.9778649806976318
PA02,1,1,0.6861258745193481
PA02,1,0,0.0179824028164148
PA02,1,1,0.9815982580184937
PA02,1,1,0.9425386190414428
PA02,1,1,0.8527606129646301
PA02,1,1,0.6714655160903931
PA02,1,1,0.921911358833313
PA03,0,0,0.478689581155777
PA03,0,0,0.4951300621032715
PA03,0,0,0.462808221578598
PA03,0,1,0.977802872657776
PA03,0,0,0.47158944606781
PA03,0,1,0.7456872463226318
PA03,0,1,0.5320437550544739
PA03,0,1,0.6926571130752563
PA03,0,1,0.929672122001648
PA03,0,1,0.6041059494018555
PA03,0,0,0.2855230271816253
PA03,0,0,0.4663309454917907
PA03,0,0,0.4227630198001861
PA03,0,0,0.4695198833942413
PA03,0,0,0.4015539884567261
PA03,0,0,0.2051185071468353
PA03,0,0,0.4178614318370819
PA03,0,1,0.531317949295044
PA03,0,1,0.7774420380592346
PA03,0,1,0.8517434000968933
PA03,0,1,0.860357403755188
PA03,0,0,0.3800699710845947
PA03,0,1,0.65864497423172
PA03,0,1,0.9319323301315308
PA03,0,1,0.627299964427948
PA03,1,1,0.683467447757721
PA03,1,1,0.9581863284111024
PA03,1,1,0.8713751435279846
PA03,1,1,0.7532960176467896
PA03,1,1,0.8827407956123352
PA03,1,1,0.8990886807441711
PA03,1,1,0.7752516865730286
PA03,1,1,0.5362188220024109
PA03,1,1,0.7427725195884705
PA03,1,0,0.4822922945022583
PA03,1,1,0.7832505106925964
PA03,1,1,0.6454241871833801
