subject,acc,bacc,f1,prec,rec,auc
PA01,0.7019157088122605,0.49624161799697164,0.17057569296375266,0.14925373134328357,0.19900497512437812,0.5269711226476315
PA02,0.717391304347826,0.5600589970501475,0.2865853658536585,0.2640449438202247,0.31333333333333335,0.6464552605703049
PA03,0.684622067767159,0.5436447389453187,0.2725450901803607,0.425,0.20058997050147492,0.6279807315052967
PA04,0.4828009828009828,0.5523831540303492,0.4821648216482165,0.7480916030534351,0.35571687840290384,0.5822044951108596
PA05,0.6674641148325359,0.5000101245317404,0.11464968152866242,0.3050847457627119,0.07058823529411765,0.5148256893118693
PA06,0.6145124716553289,0.6652173913043479,0.6009389671361502,0.8533333333333334,0.463768115942029,0.8028107158541942
PA07,0.6048543689320388,0.6410252429596051,0.5580890336590663,0.8056426332288401,0.4269102990033223,0.7724136057378832
PA08,0.8775510204081632,0.637828364495483,0.425531914893617,0.8163265306122449,0.28776978417266186,0.8432661676849638
PA10,0.5629820051413882,0.6012380635132134,0.543010752688172,0.7481481481481481,0.42616033755274263,0.6567843659782369
PA11,0.5379310344827586,0.5433333333333333,0.464,0.58,0.38666666666666666,0.5320952380952382
PA12,0.7301092043681747,0.5315541747779942,0.2100456621004566,0.35384615384615387,0.14935064935064934,0.6436771647243927
PA13,0.7231481481481481,0.5679949760219227,0.2829736211031175,0.24279835390946503,0.3390804597701149,0.6459237268782828
PA14,0.644803229061554,0.6001333849662235,0.46827794561933533,0.5516014234875445,0.4068241469816273,0.6526612452132009
PA15,0.8482142857142857,0.5327755388119852,0.15469613259668508,0.27450980392156865,0.1076923076923077,0.7408708603469425
PA16,0.6116803278688525,0.5137773367216338,0.2583170254403131,0.3815028901734104,0.1952662721893491,0.5179856615533007
PA17,0.5216016859852476,0.568329147664941,0.3641456582633053,0.7558139534883721,0.23985239852398524,0.7242309400980987
PA18,0.7101449275362319,0.4895320197044335,0.09090909090909091,0.19230769230769232,0.05952380952380952,0.6102444809341361
PA19,0.5871369294605809,0.5412608963634763,0.3254237288135593,0.5333333333333333,0.23414634146341465,0.566901470458748
PA20,0.6392757660167131,0.6020301798903882,0.48303393213572854,0.55,0.4306049822064057,0.6324869500069219
PA21,0.46768893756845564,0.5516354530490988,0.254601226993865,0.83,0.1503623188405797,0.670545786663455
PA22,0.6806981519507187,0.5591735767542332,0.2577565632458234,0.675,0.1592920353982301,0.6091329291803126
PA24,0.5282805429864253,0.536323122630878,0.34330708661417325,0.6022099447513812,0.24008810572687225,0.6501331830755046
PB01,0.8297587131367292,0.5844265514532601,0.2485207100591716,0.22580645161290322,0.27631578947368424,0.7613462293794186
PB02,0.8543046357615894,0.6125922746781116,0.32456140350877194,0.3592233009708738,0.296,0.6857596566523605
PB03,0.5659068384539148,0.5445049185615224,0.44274809160305345,0.48066298342541436,0.41037735849056606,0.5635179809708112
PB04,0.6722689075630253,0.5067460317460317,0.15827338129496402,0.3235294117647059,0.10476190476190476,0.5746073738137231
PB05,0.3963855421686747,0.543363603783919,0.2577777777777778,0.8365384615384616,0.15236427320490367,0.681720750021976
PB06,0.6225490196078431,0.5903759917212832,0.47042640990371387,0.45478723404255317,0.48717948717948717,0.6192854922301858
PB07,0.6721672167216721,0.5616262851467154,0.28019323671497587,0.6373626373626373,0.17956656346749225,0.7083311319857564
PB08,0.534054054054054,0.5317859765844386,0.4167794316644114,0.3452914798206278,0.5255972696245734,0.5626674083034519
PB10,0.7495291902071564,0.5764218282293345,0.31088082901554404,0.32608695652173914,0.297029702970297,0.6614321897306009
PB12,0.6718009478672986,0.5090715629380533,0.21082621082621084,0.2846153846153846,0.167420814479638,0.6070103062832739
PB13,0.7270896273917422,0.5046068235723408,0.1557632398753894,0.22522522522522523,0.11904761904761904,0.490658638934501
PB14,0.6411149825783972,0.5001416296855821,0.2216624685138539,0.27672955974842767,0.18487394957983194,0.5232812226014001
PB15,0.8255675029868578,0.49322749967993856,0.0641025641025641,0.10204081632653061,0.04672897196261682,0.5352579695301497
PB16,0.7539432176656151,0.5900327771915606,0.336734693877551,0.35231316725978645,0.32247557003257327,0.6778544957766869
PB17,0.7528089887640449,0.5509219197230912,0.25675675675675674,0.2923076923076923,0.2289156626506024,0.5616304999001531
PB18,0.8033826638477801,0.5640847113431969,0.256,0.45714285714285713,0.17777777777777778,0.7580649840440963
